,text
0,to triste galera
1,ana moura arraial triste
2,bro literalmente ez dio hitz egiten bati beste bati txarto hitz egin ziolako baina abusadore baten lagunik onena da make it make sence
3,triste atsekabetuta hondoratuta desengainatuta garrasika hautsita nazkatuta haserre
4,triste baina harro
5,kiennnnn entrada antzoki oinnn mese athletikeko batenbat triste daona
6,suspira de nuevo comiendo un taiyaki sakiko triste
7,futbolak norbanako bakoitzaren alderdirik txarrena ateratzen du gaur ere bai zoritxarrez
8,bailarina triste
9,nire bazkide txartela eman dut gaur hitzordua daukat frontoian eta oso txarra naiz partidu handietan lar artega jartzen naiz bihotzekoaren mugan beraz asko animatu eta gozatuko duen beste bati eman diot aupa athletic
10,triste dia galeraaa
11,besameguarri triste
12,etsoy triste
13,to triste galera
14,no va estar ni luzu ni wilbur triste
15,oso triste nago ezin dut gehio
16,beruk aurreko astin lovebombing eitziun oi ghosting etteko eske oi triste berriz txaketo potolakin kalefaixue bela ipintzet ordie dardarka eon berbate
17,vaya semana de mierda astelehenien nire urtiek izenzien ta bakarrik pasenabezen martitzen mehh eguaztenien teorikoa ta penke einaben f eguenien txarto hasi nintzen topetan ta positivo covid eta asteburu osoa etxien ta bixer nire nobixoa dator ta ezinaz hurbildu covid welll
18,kakaua galdu dot por el piercing ezin ditxut mokuak kendu begixak mazo hintxauta super txarto hasi dot astesantua
19,estoi tan triste
20,escuxando musika triste
21,domingo triste
22,domingo triste
23,domingo triste
24,domingo triste
25,ana moura arraial triste
26,domingo triste
27,domingo triste man kkkkkk
28,domingo triste
29,domingo triste
30,domingo triste
31,domingo tan triste
32,domingo triste
33,domingo triste
34,domingo triste
35,domingo dia triste
36,baile triste
37,domingo triste
38,domingo triste
39,domingo triste
40,domingo triste
41,domingo triste
42,domingo triste
43,domingo triste
44,domingo triste
45,ez gabiltza asken bolada ontan gure jokoa ongi burutzatzen rombo deritzaguna ez dabil ta hori seinale txarra da gaurko partidoa agerian geratzen da bai aukerak izan ditugu baino gaur ere hiru puntuak galduta
46,a terapeuta da pain ta triste
47,domingo triste
48,domingo triste
49,domingo triste
50,domingo triste
51,domingo eh triste
52,domingo triste
53,domingo triste
54,ana moura arraial triste
55,aktualmente inoiz ikusidoten pelikulaik txarrena ikusten
56,n gostei fiwuei triste
57,gatitu triste
58,pneumonia eh triste
59,estoi tan triste
60,ai to ben triste
61,bellako triste
62,ana moura arraial triste
63,paia paia paia triste triste triste
64,estoi tan triste
65,modo triste on
66,un bellako triste
67,ana moura arraial triste
68,estoi tan triste
69,estoi tan triste
70,atzelito ta triste
71,esori triste
72,joan sebastian good cuando uno anda triste
73,etsoy tan triste
74,unibertsitateko makinak zentimo irentsi dizkit dena txarto
75,laster urtengo da azterketako emaitza a de tirarme por la ventanicaaaaa nahiko txarto eindot lo admito super triste nau que pringada aj
76,historia triste
77,el bellako triste
78,triste era
79,zenek ostiak inbentau zun txokolate txuriya ze ikearri txarra dao
80,triste era
81,make musica triste en espaol great again
82,dnv kkkkk triste em
83,ana moura arraial triste
84,"egun txarra dakozule pentsaten bazun
zapatuen kontzertue eta gero autopiste erdixen gurpil bet pintxe gendun eta metrora respuestokue gaur junai kotxie bille tallerrera eta eztala allega dioztie laburbilduz eztakitz non dakotan kotxie auntzek momentuen"
